height(mAGL) detrain(unitless)
50 0.0456
150 0.0457
250 0.0441
350 0.0425
450 0.0410
550 0.0397
650 0.0392
750 0.0393
850 0.0391
950 0.0382
1050 0.0371
1150 0.0359
1250 0.0343
1350 0.0327
1450 0.0312
1550 0.0300
1650 0.0288
1750 0.0276
1850 0.0265
1950 0.0254
2050 0.0244
2150 0.0235
2250 0.0227
2350 0.0218
2450 0.0205
2550 0.0192
2650 0.0180
2750 0.0169
2850 0.0158
2950 0.0148
3050 0.0134
3150 0.0117
3250 0.0101
3350 0.0085
3450 0.0071
3550 0.0058
3650 0.0046
3750 0.0035
3850 0.0025
3950 0.0016
4050 0.0009
4150 0.0005
4250 0.0001
4350 0.0001
4450 0.0001
4550 0.0001
4650 0.0001
4750 0.0001
4850 0.0001
4950 0.0001
5050 0.0001
5150 0.0001
5250 0.0001
5350 0.0001
5450 0.0001
5550 0.0001
5650 0.0001
5750 0.0001
5850 0.0001
5950 0.0001
6050 0.0001
6150 0.0001
6250 0.0001
6350 0.0001
6450 0.0001
6550 0.0001
6650 0.0001
6750 0.0001
6850 0.0001
6950 0.0001
7050 0.0001
7150 0.0001
7250 0.0001
7350 0.0001
7450 0.0001
7550 0.0001
7650 0.0001
7750 0.0001
7850 0.0001
7950 0.0001
8050 0.0001
8150 0.0001
8250 0.0001
8350 0.0001
8450 0.0001
8550 0.0001
8650 0.0001
8750 0.0001
8850 0.0001
8950 0.0001
9050 0.0001
9150 0.0001
9250 0.0001
9350 0.0001
9450 0.0001
9550 0.0001
9650 0.0001
9750 0.0001
9850 0.0001
9950 0.0001
10050 0.0001
10150 0.0001
10250 0.0001
10350 0.0001
10450 0.0001
10550 0.0001
10650 0.0001
10750 0.0001
10850 0.0001
10950 0.0001
11050 0.0001
11150 0.0001
11250 0.0001
11350 0.0001
11450 0.0001
11550 0.0001
11650 0.0001
11750 0.0001
11850 0.0001
11950 0.0001
12050 0.0001
12150 0.0001
12250 0.0001
12350 0.0001
12450 0.0001
12550 0.0001
12650 0.0001
12750 0.0001
12850 0.0001
12950 0.0001
13050 0.0001
13150 0.0001
13250 0.0001
13350 0.0001
13450 0.0001
13550 0.0001
13650 0.0001
13750 0.0001
13850 0.0001
13950 0.0001
14050 0.0001
14150 0.0001
14250 0.0001
14350 0.0001
14450 0.0001
14550 0.0001
14650 0.0001
14750 0.0001
14850 0.0001
14950 0.0001
15050 0.0001
15150 0.0001
15250 0.0001
15350 0.0001
15450 0.0001
15550 0.0001
15650 0.0001
15750 0.0001
15850 0.0001
15950 0.0001
16050 0.0001
16150 0.0001
16250 0.0001
16350 0.0001
16450 0.0001
16550 0.0001
16650 0.0001
16750 0.0001
16850 0.0001
16950 0.0001
17050 0.0001
17150 0.0001
17250 0.0001
17350 0.0001
17450 0.0001
17550 0.0001
17650 0.0001
17750 0.0001
17850 0.0001
17950 0.0001
18050 0.0001
18150 0.0001
18250 0.0001
18350 0.0001
18450 0.0001
18550 0.0001
18650 0.0001
18750 0.0001
18850 0.0001
18950 0.0001
19050 0.0001
19150 0.0001
19250 0.0001
19350 0.0001
19450 0.0001
19550 0.0001
19650 0.0001
19750 0.0001
19850 0.0001
19950 0.0001
